filename,width,height,class,xmin,ymin,xmax,ymax
annotations/applauding_001.jpg,300,400,person without helmet,30,57,250,322
annotations/applauding_002.jpg,421,300,person without helmet,6,49,161,231
annotations/applauding_002.jpg,421,300,person without helmet,205,16,420,277
annotations/applauding_003.jpg,466,300,person without helmet,271,86,435,292
annotations/applauding_004.jpg,300,417,person without helmet,66,19,246,417
annotations/applauding_005.jpg,300,451,person without helmet,91,60,224,451
annotations/applauding_007.jpg,410,400,person without helmet,159,15,396,302
annotations/applauding_008.jpg,450,300,person without helmet,211,28,314,232
annotations/applauding_011.jpg,600,800,person without helmet,302,132,482,728
annotations/applauding_011.jpg,600,800,person without helmet,152,240,301,797
annotations/applauding_011.jpg,600,800,person without helmet,1,297,181,799
annotations/applauding_011.jpg,600,800,person without helmet,471,207,535,483
annotations/applauding_012.jpg,400,300,person without helmet,27,26,213,299
annotations/applauding_012.jpg,400,300,person without helmet,219,19,335,298
annotations/applauding_013.jpg,300,436,person without helmet,2,4,149,436
annotations/applauding_014.jpg,449,300,person without helmet,8,58,123,300
annotations/applauding_014.jpg,449,300,person without helmet,114,33,239,300
annotations/applauding_014.jpg,449,300,person without helmet,228,57,322,300
annotations/applauding_014.jpg,449,300,person without helmet,324,52,440,299
annotations/applauding_015.jpg,302,200,person without helmet,83,18,238,200
annotations/applauding_016.jpg,356,200,person without helmet,143,9,336,200
annotations/applauding_017.jpg,601,400,person without helmet,236,85,442,391
annotations/applauding_017.jpg,601,400,person without helmet,3,147,219,349
annotations/applauding_018.jpg,400,300,person without helmet,205,16,347,300
annotations/applauding_019.jpg,599,400,person without helmet,50,42,292,400
annotations/applauding_020.jpg,413,400,person without helmet,74,30,244,400
annotations/applauding_021.jpg,300,405,person without helmet,29,109,284,401
annotations/applauding_022.jpg,349,300,person without helmet,46,2,302,300
annotations/applauding_023.jpg,400,300,person without helmet,1,107,194,300
annotations/applauding_024.jpg,300,479,person without helmet,45,7,244,307
annotations/applauding_025.jpg,802,600,person without helmet,142,124,409,600
annotations/applauding_025.jpg,802,600,person without helmet,484,57,781,600
