filename,width,height,class,xmin,ymin,xmax,ymax
images/person_without_helmet (10).jpg,200,270,person without helmet,25,75,180,270
images/worker (849).jpg,225,225,helmet,75,28,202,112
images/worker (831).jpg,260,194,person with helmet,81,62,145,166
images/person_without_helmet (283).jpg,300,200,person without helmet,161,58,252,198
images/worker (362).jpg,194,260,person with helmet,56,1,154,107
images/worker (635).jpg,275,183,person with helmet,122,62,153,170
images/worker (827).jpg,284,177,person with helmet,12,26,73,113
images/worker (456).jpg,275,183,helmet,22,68,71,105
images/worker (584).jpg,300,168,person with helmet,49,30,154,143
images/worker (614).jpg,179,281,helmet,65,48,143,101
images/worker (702).jpg,275,183,helmet,1,28,58,109
images/worker (636).jpg,274,184,helmet,235,81,244,90
images/worker (845).jpg,235,214,helmet,87,18,115,38
images/worker (737).jpg,273,185,person with helmet,41,2,150,184
images/worker (499).jpg,266,189,helmet,139,26,183,55
images/person_without_helmet (112).jpg,310,200,person without helmet,119,15,254,155
images/worker (701).jpg,300,168,person with helmet,26,1,147,146
images/applauding_115.jpg,451,300,person without helmet,89,52,266,300
images/worker (518).jpg,317,159,person with helmet,50,49,98,158
images/person_without_helmet (292).jpg,268,200,person without helmet,174,2,261,181
images/worker (14).jpg,265,190,person with helmet,81,12,138,145
images/worker (760).jpg,290,174,person with helmet,63,18,98,86
images/worker (849).jpg,225,225,person with helmet,68,29,225,222
images/worker (264).jpg,300,168,person,23,1,159,168
images/applauding_102.jpg,300,451,person without helmet,50,1,299,289
images/worker (192).jpg,289,174,helmet,144,76,169,101
images/worker (206).jpg,289,175,person with helmet,113,33,152,158
images/worker (699).jpg,275,183,person with helmet,125,11,196,178
images/worker (316).jpg,265,190,helmet,90,7,162,63
images/worker (337).jpg,299,168,person with helmet,39,1,174,167
images/worker (400).jpg,267,189,helmet,123,1,213,54
images/worker (692).jpg,265,190,helmet,147,7,178,32
images/worker (636).jpg,274,184,person with helmet,232,80,248,137
images/applauding_103.jpg,448,300,person without helmet,281,37,415,300
images/worker (799).jpg,275,183,helmet,66,27,103,54
images/worker (865).jpg,275,183,person with helmet,180,52,275,183
images/worker (709).jpg,275,183,person with helmet,90,28,154,130
images/worker (165).jpg,266,189,person with helmet,179,27,237,176
images/worker (811).jpg,183,275,helmet,94,90,121,109
images/worker (425).jpg,275,183,person with helmet,108,32,167,179
images/worker (575).jpg,190,266,helmet,93,48,156,95
images/worker (860).jpg,183,276,person with helmet,108,26,183,272
images/worker (746).jpg,290,174,helmet,109,1,212,68
images/worker (839).jpg,245,205,person without helmet,128,28,146,153
images/worker (770).jpg,298,169,person with helmet,23,6,89,149
images/applauding_125.jpg,400,300,person without helmet,279,6,400,194
images/worker (473).jpg,265,190,helmet,124,19,217,76
images/worker (841).jpg,290,174,helmet,150,21,191,56
images/person_without_helmet (64).jpg,303,200,person without helmet,64,7,248,169
images/worker (411).jpg,300,168,person with helmet,143,50,200,167
images/worker (687).jpg,276,182,person with helmet,110,80,207,179
images/person_without_helmet (250).jpg,318,200,person without helmet,248,65,318,170
images/person_without_helmet (204).jpg,271,200,person without helmet,73,26,172,137
images/person_without_helmet (262).jpg,200,207,person without helmet,15,5,76,83
images/worker (830).jpg,263,192,helmet,2,1,98,40
images/person_without_helmet (284).jpg,200,305,person without helmet,59,112,182,263
images/worker (363).jpg,352,143,helmet,264,14,306,52
images/worker (837).jpg,426,118,person without helmet,135,49,171,118
images/worker (120).jpg,300,168,person with helmet,130,11,211,167
images/worker (152).jpg,275,183,helmet,47,61,68,77
images/worker (880).jpg,284,177,person with helmet,181,6,280,177
images/worker (563).jpg,262,192,helmet,115,29,153,54
images/worker (98).jpg,266,189,person with helmet,93,2,246,178
images/worker (562).jpg,183,276,helmet,45,101,90,138
images/worker (442).jpg,267,189,helmet,65,19,130,72
images/worker (116).jpg,255,197,helmet,114,46,167,82
images/person_without_helmet (208).jpg,285,200,person without helmet,133,20,248,190
images/worker (785).jpg,266,190,person with helmet,71,55,128,113
images/person_without_helmet (6).jpg,259,200,person without helmet,180,52,235,182
images/worker (805).jpg,266,189,helmet,52,31,115,67
images/applauding_121.jpg,280,200,person without helmet,138,20,280,182
images/worker (305).jpg,274,184,helmet,48,2,168,53
images/worker (484).jpg,275,183,helmet,43,33,98,72
images/worker (139).jpg,251,201,person with helmet,36,30,124,190
images/worker (215).jpg,266,189,helmet,22,17,57,36
images/worker (791).jpg,330,153,helmet,129,7,150,24
images/worker (11).jpg,259,194,helmet,145,30,185,61
images/worker (539).jpg,270,186,helmet,84,60,111,85
images/applauding_069.jpg,400,300,person without helmet,163,63,292,300
images/worker (270).jpg,266,189,helmet,107,2,136,32
images/worker (598).jpg,266,190,helmet,48,111,60,121
images/worker (16).jpg,263,192,helmet,186,17,215,36
images/applauding_086.jpg,400,444,person without helmet,195,122,264,264
images/worker (313).jpg,299,168,helmet,144,22,210,67
images/worker (801).jpg,301,167,person with helmet,101,3,139,117
images/worker (57).jpg,275,183,person with helmet,107,2,239,182
images/worker (736).jpg,201,250,person with helmet,33,8,180,242
images/worker (706).jpg,288,175,person with helmet,204,7,247,139
images/worker (609).jpg,275,183,helmet,105,22,151,64
images/worker (840).jpg,300,168,person with helmet,214,8,239,168
images/applauding_014.jpg,449,300,person without helmet,8,58,123,300
images/worker (577).jpg,262,192,person with helmet,37,32,162,144
images/worker (182).jpg,250,202,helmet,22,37,50,58
images/worker (378).jpg,266,189,person with helmet,74,1,263,177
images/applauding_041.jpg,451,300,person without helmet,44,8,306,277
images/person_without_helmet (197).jpg,219,200,person without helmet,98,35,190,200
images/worker (515).jpg,262,193,person with helmet,118,20,160,76
images/worker (808).jpg,388,130,person with helmet,148,1,221,128
images/worker (191).jpg,270,187,person with helmet,90,17,129,187
images/worker (318).jpg,259,194,helmet,180,1,206,18
images/worker (487).jpg,177,285,helmet,77,34,107,55
images/worker (762).jpg,203,248,person with helmet,121,14,170,208
images/worker (14).jpg,265,190,person with helmet,15,1,76,148
images/applauding_124.jpg,300,451,person without helmet,109,47,265,451
images/worker (56).jpg,300,168,helmet,146,51,179,79
images/worker (17).jpg,275,183,helmet,83,40,109,63
images/worker (571).jpg,177,285,person with helmet,15,39,157,261
images/worker (599).jpg,299,168,person without helmet,225,73,266,99
images/worker (601).jpg,255,198,helmet,131,38,148,53
images/worker (705).jpg,265,190,person with helmet,169,21,245,175
images/worker (735).jpg,299,168,helmet,182,25,206,39
images/worker (541).jpg,265,190,helmet,127,7,171,37
images/worker (541).jpg,265,190,person with helmet,106,7,181,189
images/worker (224).jpg,240,160,helmet,136,9,186,52
images/worker (836).jpg,254,198,helmet,145,44,198,92
images/worker (621).jpg,180,281,person with helmet,71,74,122,121
images/person_without_helmet (14).jpg,282,200,person without helmet,8,11,222,197
images/worker (511).jpg,262,192,person with helmet,103,11,231,174
images/worker (852).jpg,310,162,person with helmet,58,3,208,162
images/worker (300).jpg,300,168,person with helmet,62,3,226,164
images/worker (801).jpg,301,167,helmet,165,14,194,34
images/worker (583).jpg,262,192,person with helmet,110,15,194,118
images/worker (740).jpg,275,183,helmet,96,46,179,106
images/worker (191).jpg,270,187,helmet,58,45,106,76
images/worker (847).jpg,275,183,person with helmet,7,26,106,181
images/worker (377).jpg,184,275,person with helmet,52,27,148,273
images/worker (779).jpg,182,277,person with helmet,16,11,182,250
images/worker (54).jpg,232,217,helmet,106,39,162,89
images/worker (775).jpg,217,232,person with helmet,17,110,57,216
images/worker (781).jpg,275,183,helmet,179,23,218,52
images/worker (686).jpg,276,183,helmet,71,5,189,83
images/applauding_080.jpg,300,450,person without helmet,124,71,200,371
images/worker (790).jpg,322,156,person with helmet,148,32,210,134
images/worker (84).jpg,299,168,helmet,201,13,234,36
images/worker (840).jpg,300,168,helmet,247,7,271,24
images/worker (181).jpg,194,260,person,80,163,128,243
images/worker (379).jpg,261,193,person with helmet,30,1,129,171
images/worker (870).jpg,275,183,person with helmet,147,23,275,170
images/worker (384).jpg,266,189,person with helmet,93,12,266,177
images/person_without_helmet (184).jpg,302,200,person without helmet,117,59,146,91
images/worker (742).jpg,275,183,person with helmet,42,18,131,183
images/worker (797).jpg,180,280,helmet,9,55,56,88
images/worker (599).jpg,299,168,helmet,36,55,48,63
images/worker (606).jpg,260,194,helmet,7,57,40,80
images/worker (814).jpg,275,183,person with helmet,172,47,237,177
images/worker (247).jpg,275,183,person with helmet,178,40,207,173
images/worker (524).jpg,300,168,person with helmet,32,10,141,140
images/person_without_helmet (126).jpg,279,200,person without helmet,145,37,264,186
images/worker (425).jpg,275,183,person with helmet,55,30,111,182
images/person_without_helmet (74).jpg,393,300,person without helmet,35,39,120,294
images/worker (368).jpg,290,174,helmet,217,29,243,43
images/worker (714).jpg,275,184,person with helmet,132,37,181,179
images/worker (775).jpg,217,232,helmet,29,110,44,123
images/person_without_helmet (217).jpg,204,200,person without helmet,10,45,42,89
images/worker (317).jpg,266,189,helmet,30,40,76,72
images/person_without_helmet (96).jpg,267,200,person without helmet,118,34,187,191
images/person_without_helmet (254).jpg,200,425,person without helmet,50,107,192,358
images/worker (452).jpg,259,194,person with helmet,53,18,135,193
images/worker (250).jpg,179,281,person with helmet,1,52,67,263
images/worker (704).jpg,275,183,person with helmet,60,23,142,183
images/worker (467).jpg,260,194,helmet,117,45,154,70
images/worker (582).jpg,275,183,helmet,108,80,139,101
images/person_without_helmet (121).jpg,200,268,person without helmet,1,1,140,212
images/worker (128).jpg,259,194,person without helmet,217,49,259,104
images/worker (787).jpg,275,183,person with helmet,148,126,174,178
images/worker (803).jpg,300,168,person with helmet,60,15,148,162
images/worker (144).jpg,183,275,person with helmet,138,69,176,231
images/worker (435).jpg,275,183,helmet,142,12,197,59
images/worker (271).jpg,183,275,helmet,67,73,121,102
images/applauding_073.jpg,300,451,person without helmet,66,80,300,374
images/worker (390).jpg,183,275,person with helmet,29,17,157,274
images/applauding_014.jpg,449,300,person without helmet,228,57,322,300
images/person_without_helmet (89).jpg,200,200,person without helmet,88,1,200,148
images/worker (837).jpg,426,118,person with helmet,165,4,263,117
images/worker (151).jpg,266,190,person with helmet,183,47,215,150
images/worker (761).jpg,290,174,helmet,181,14,211,37
images/worker (490).jpg,300,168,helmet,106,24,125,42
images/worker (685).jpg,266,189,person with helmet,74,46,175,148
images/worker (299).jpg,262,193,helmet,65,1,173,56
images/worker (431).jpg,275,183,person with helmet,146,18,256,182
images/applauding_005.jpg,300,451,person without helmet,91,60,224,451
images/worker (26).jpg,275,183,helmet,42,3,96,42
images/applauding_004.jpg,300,417,person without helmet,66,19,246,417
images/worker (804).jpg,354,142,helmet,161,19,217,65
images/applauding_059.jpg,400,522,person without helmet,17,14,392,462
images/worker (17).jpg,275,183,helmet,65,44,86,70
images/person_without_helmet (101).jpg,300,200,person without helmet,123,48,186,183
images/worker (792).jpg,300,168,person with helmet,104,15,199,166
images/worker (804).jpg,354,142,person with helmet,155,19,223,134
images/worker (728).jpg,275,183,person without helmet,149,1,170,49
images/worker (507).jpg,225,225,helmet,78,13,133,51
images/worker (771).jpg,207,243,helmet,130,13,144,22
images/worker (619).jpg,275,183,person with helmet,176,1,274,182
images/person_without_helmet (37).jpg,267,200,person without helmet,161,37,209,164
images/applauding_135.jpg,440,300,person without helmet,133,1,336,300
images/applauding_134.jpg,493,400,person without helmet,101,1,266,400
images/worker (105).jpg,275,183,helmet,104,11,163,46
images/worker (712).jpg,284,178,helmet,174,60,193,74
images/worker (681).jpg,225,225,helmet,120,10,169,53
images/worker (484).jpg,275,183,person with helmet,29,33,103,182
images/applauding_032.jpg,379,300,person without helmet,214,22,371,296
images/worker (775).jpg,217,232,helmet,89,2,102,11
images/worker (644).jpg,298,169,helmet,102,64,130,82
images/worker (169).jpg,299,168,person,173,57,214,150
images/applauding_037.jpg,300,400,person without helmet,127,130,177,246
images/worker (575).jpg,190,266,person with helmet,90,49,177,250
images/worker (833).jpg,278,181,person without helmet,121,23,139,48
images/worker (771).jpg,207,243,person with helmet,126,13,158,124
images/worker (794).jpg,275,183,helmet,109,24,138,44
images/worker (99).jpg,204,247,helmet,91,27,160,89
images/worker (435).jpg,275,183,person with helmet,129,10,221,182
images/worker (720).jpg,266,190,person with helmet,56,35,103,142
images/person_without_helmet (250).jpg,318,200,person without helmet,1,81,28,161
images/worker (270).jpg,266,189,person with helmet,196,4,247,75
images/person_without_helmet (82).jpg,200,233,person without helmet,18,1,93,145
images/worker (453).jpg,300,168,helmet,129,16,178,49
images/worker (631).jpg,239,211,helmet,81,58,131,97
images/worker (71).jpg,275,183,person with helmet,73,10,151,181
